ue_id,ue_x,ue_y,alloc_enb,rsrq
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,991.8,710.68,2,-9.88597
0,994.02,709.91,2,-9.79999
0,997.67,708.86,2,-9.66018
0,1003.68,707.12,2,-9.42994
0,1011.67,706.55,2,-9.13594
0,1021.52,708.93,2,-8.79761
0,1030.41,717.27,2,-8.5579
0,1039.66,727.92,2,-8.3667
0,1045.51,741.17,2,-8.38026
0,1050.97,753.5,2,-8.44324
0,1059.45,764.77,2,-8.44252
0,1065.22,777.81,2,-8.61186
0,1070.69,790.19,2,-8.81524
0,1076.6,803.53,2,-9.0751
0,1082.3,816.43,2,-9.36217
0,1087.82,828.9,2,-9.66808
0,1093.4,841.51,2,-10.0021
0,1098.93,854.01,2,-10.3541
0,1104.5,866.6,2,-10.7267
0,1110.1,879.28,2,-11.1178
0,1116.05,892.74,2,-11.5474
0,1121.84,905.84,2,-11.9781
0,1127.17,917.87,2,-12.3827
0,1130.83,926.15,2,-12.6658
0,1132.67,930.31,2,-12.8092
0,1132.89,930.8,2,-12.8262
0,1132.9,930.82,2,-12.8269
0,1132.9,930.83,2,-12.8272
0,1132.9,930.83,2,-12.8272
0,1132.9,930.83,2,-12.8272
0,1132.9,930.83,2,-12.8272
0,1133.64,932.65,2,-12.8906
0,1134.94,936.25,2,-13.017
0,1136.76,941.73,2,-13.2109
0,1140.04,949.38,3,-14.0297
0,1147.98,955.23,3,-13.785
0,1158.92,961.34,3,-13.5382
0,1171.78,967.48,3,-13.312
0,1186.77,974.48,3,-13.0884
0,1202.98,982.05,3,-12.8906
0,1220.81,990.37,3,-12.7296
0,1240.54,999.59,3,-12.6231
0,1262.25,1009.76,3,-12.5959
0,1285.88,1020.81,3,-12.676
0,1311.1,1032.61,3,-12.883
0,1336.72,1044.6,3,-13.214
0,1363.56,1056.28,3,-13.6993
0,1389.52,1060.87,3,-14.4085
0,1411.6,1060.79,13,-15.2313
0,1429.82,1059.02,13,-14.5729
0,1444.34,1057.51,13,-14.0478
0,1458.09,1056.97,13,-13.5537
0,1471.05,1057.33,13,-13.0915
0,1484.93,1058.67,13,-12.6009
0,1498.49,1061.01,13,-12.1278
0,1513.12,1061.5,13,-11.6092
0,1526.33,1065.96,13,-11.1656
0,1539.67,1071.56,13,-10.7334
0,1551.62,1077.58,13,-10.3652
0,1564.02,1085.59,13,-10.0176
0,1576.35,1097.2,13,-9.74626
0,1589.18,1110.55,13,-9.53621
0,1602.26,1126.74,13,-9.44265
0,1615.79,1145.34,13,-9.48581
0,1627.51,1167.57,13,-9.7792
0,1636.32,1192.76,13,-10.3253
0,1642.37,1220.55,13,-11.0816
0,1646.12,1248.56,19,-15.2193
0,1649.98,1277.5,19,-14.2547
0,1653.77,1305.9,19,-13.3608
0,1657.63,1334.74,19,-12.5227
0,1660.88,1359.12,19,-11.8857
0,1663.54,1379.02,19,-11.426
0,1665.62,1394.44,19,-11.1135
0,1668.1,1405.15,19,-10.8812
0,1670.72,1411.11,19,-10.7118
0,1674.03,1419.35,19,-10.5009
0,1678.2,1429.28,19,-10.2576
0,1680.58,1442.44,19,-10.0989
0,1682.38,1458.25,19,-10.0116
0,1683.67,1476.1,19,-10.0253
0,1684.79,1495.96,19,-10.154
0,1689,1514.98,19,-10.2516
0,1689.79,1529.88,19,-10.4865
0,1690.33,1540.3,19,-10.679
0,1690.7,1547.27,19,-10.8192
0,1690.86,1550.36,19,-10.8844
0,1690.88,1550.59,19,-10.889
0,1690.88,1550.62,19,-10.8897
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
0,1690.88,1550.63,19,-10.8899
