enb_id,score,alloc,rsrq,hand_ctn
21,-0.820677,0,-42.5142,5
22,0.550366,0,-19.9607,5
23,-0.654758,0,-39.7766,5
24,-0.574427,0,-38.4511,5
25,-0.0709366,0,-30.1435,5
0,-0.527656,0,-37.5373,5
1,-0.862443,0,-43.0613,5
2,0.871201,0,-14.732,5
3,1.02333,1,-12.8906,5
4,-0.0500581,0,-29.657,5
5,0.550402,0,-19.7604,5
6,-1.43082,0,-52.4396,5
7,0.628984,0,-18.5206,5
8,-0.881603,0,-43.3775,5
9,0.454842,0,-21.749,5
10,-1.52061,0,-53.921,5
11,0.113918,0,-26.9514,5
12,-0.826024,0,-42.4604,5
13,0.48224,0,-22.7463,5
14,0.280313,0,-24.2059,5
15,0.224772,0,-25.1223,5
16,0.104297,0,-27.1101,5
17,-0.965764,0,-44.7661,5
18,-0.42646,0,-35.8676,5
19,-0.146593,0,-36.2437,5
20,-1.29353,0,-50.1743,5
21,-0.85547,0,-42.9463,5
22,0.532255,0,-20.1037,5
23,-0.696515,0,-40.3235,5
24,-0.603371,0,-38.7866,5
25,-0.117111,0,-30.7634,5
0,-0.558738,0,-37.9082,5
1,-0.91448,0,-43.7779,5
2,0.835621,0,-15.1345,5
3,1.02042,1,-12.7296,5
4,-0.0934244,0,-30.2305,5
5,0.499648,0,-20.4483,5
6,-1.46695,0,-52.8937,5
7,0.589657,0,-19.0077,5
8,-0.940935,0,-44.2144,5
9,0.457295,0,-21.5479,5
10,-1.56106,0,-54.4465,5
11,0.0878316,0,-27.2398,5
12,-0.854502,0,-42.7883,5
13,0.513567,0,-22.0835,5
14,0.237936,0,-24.7631,5
15,0.19942,0,-25.3986,5
16,0.0969926,0,-27.0886,5
17,-1.02077,0,-45.5317,5
18,-0.438492,0,-35.9241,5
19,-0.106558,0,-35.4495,5
20,-1.34503,0,-50.8819,5
21,-0.893582,0,-43.4331,5
22,0.51149,0,-20.2914,5
23,-0.74195,0,-40.9312,5
24,-0.634911,0,-39.165,5
25,-0.16715,0,-31.447,5
0,-0.593111,0,-38.3341,5
1,-0.971318,0,-44.5745,5
2,0.795524,0,-15.6153,5
3,1.01425,1,-12.6231,5
4,-0.140788,0,-30.8708,5
5,0.444653,0,-21.211,5
6,-1.50653,0,-53.4056,5
7,0.546106,0,-19.5682,5
8,-1.00564,0,-45.1409,5
9,0.45839,0,-21.3692,5
10,-1.60541,0,-55.037,5
11,0.0584404,0,-27.5835,5
12,-0.885777,0,-43.1631,5
13,0.54899,0,-21.3541,5
14,0.191057,0,-25.3953,5
15,0.170447,0,-25.7354,5
16,0.0881122,0,-27.0939,5
17,-1.0807,0,-46.3794,5
18,-0.451943,0,-36.0048,5
19,-0.0613442,0,-34.5713,5
20,-1.40117,0,-51.667,5
21,-0.935591,0,-43.985,5
22,0.487494,0,-20.5344,5
23,-0.791678,0,-41.6105,5
24,-0.669491,0,-39.5944,5
25,-0.221685,0,-32.2056,5
0,-0.631174,0,-38.8214,5
1,-1.03324,0,-45.4555,5
2,0.7504,0,-16.1828,5
3,1.00334,1,-12.5959,5
4,-0.192408,0,-31.5817,5
5,0.385151,0,-22.052,5
6,-1.54986,0,-53.9797,5
7,0.497948,0,-20.2085,5
8,-1.07599,0,-46.1608,5
9,0.457214,0,-21.2277,5
10,-1.65394,0,-55.6971,5
11,0.0252618,0,-27.9902,5
12,-0.920156,0,-43.5896,5
13,0.588546,0,-20.5568,5
14,0.139305,0,-26.1085,5
15,0.137277,0,-26.1419,5
16,0.0771025,0,-27.1348,5
17,-1.1458,0,-47.3128,5
18,-0.467204,0,-36.1159,5
19,-0.0107742,0,-33.6059,5
